development,development_label,road_climate_cost,road_construction_cost,road_ecological_disruption_cost,road_land_consumption_cost,road_maint_cost,road_noise_cost,road_tts_cost,road_externalities_total_cost,road_total_cost_without_tts,road_construction_cost_mio_chf,road_maint_cost_mio_chf,road_tts_cost_mio_chf,road_climate_cost_mio_chf,road_land_consumption_cost_mio_chf,road_ecological_disruption_cost_mio_chf,road_noise_cost_mio_chf,road_externalities_total_cost_mio_chf,road_total_cost_without_tts_mio_chf
0,0,-219924.64394040313,-3816953.5260029384,-710437.4218694746,-46377.68640486368,-2128372.97034406,-7655182.065570948,1854976.10465712,-8631921.81778569,-14577248.314132689,-3.8169535260029384,-2.12837297034406,1.85497610465712,-0.21992464394040312,-0.04637768640486368,-0.7104374218694746,-7.655182065570948,-8.63192181778569,-14.577248314132689
103,103,-440578.2300220169,-6491417.956595839,-1021005.69736768,-80166.75102873528,-4031434.3203598512,-10686915.800475284,-3892574.192300995,-12228666.478893716,-22751518.755849406,-6.491417956595839,-4.0314343203598515,-3.892574192300995,-0.4405782300220169,-0.08016675102873527,-1.02100569736768,-10.686915800475285,-12.228666478893716,-22.751518755849407
104,104,-90049.4821352756,-3156249.8477229197,-266283.8302421902,-2770.2230637444213,-1656002.2441377095,-22779409.5753967,38606.42073568961,-23138513.11083791,-27950765.20269854,-3.1562498477229197,-1.6560022441377096,0.03860642073568961,-0.0900494821352756,-0.0027702230637444212,-0.2662838302421902,-22.779409575396702,-23.13851311083791,-27.95076520269854
109,109,-1013657.6766594506,-42978481.77262277,-2069349.4931752032,-403190.0702812184,-21997233.397928752,-9319668.629144125,-7968157.024158484,-12805865.869259998,-77781581.03981152,-42.97848177262277,-21.997233397928753,-7.968157024158485,-1.0136576766594507,-0.4031900702812184,-2.0693494931752032,-9.319668629144125,-12.805865869259998,-77.78158103981153
114,114,-223437.22652392564,-3836285.365401461,-722031.4714329287,-45100.85583241588,-2142185.759122142,-6852863.336530978,-182239.00638569985,-7843432.890320248,-13821904.014843851,-3.836285365401461,-2.142185759122142,-0.18223900638569984,-0.22343722652392564,-0.04510085583241588,-0.7220314714329287,-6.8528633365309775,-7.843432890320248,-13.82190401484385
12,12,-670219.4033113153,-7809347.345562276,-1763514.656397349,-134783.92284051736,-4972816.319064497,-19548455.828200765,-244446.88989845442,-22116973.810749948,-34899137.475376725,-7.809347345562276,-4.972816319064497,-0.24444688989845442,-0.6702194033113154,-0.13478392284051735,-1.763514656397349,-19.548455828200765,-22.116973810749947,-34.899137475376726
126,126,-744660.711054364,-12035464.075227171,-1421283.8793650756,-280170.7901287537,-7512433.252966238,-10602344.085150933,-4511249.604285044,-13048459.465699125,-32596356.793892536,-12.035464075227171,-7.512433252966238,-4.511249604285044,-0.7446607110543639,-0.2801707901287537,-1.4212838793650757,-10.602344085150932,-13.048459465699125,-32.59635679389254
140,140,-168797.56596360932,-3535570.686778138,-541681.2824755681,-7660.607515584811,-1927322.1730626535,-12750497.857655834,-84198.16725903611,-13468637.313610597,-18931530.173451386,-3.535570686778138,-1.9273221730626535,-0.08419816725903612,-0.16879756596360931,-0.007660607515584811,-0.5416812824755681,-12.750497857655834,-13.468637313610596,-18.931530173451385
143,143,-129191.59137618991,-10734373.686350971,-178871.23829781247,-19179.10107905444,-5308156.610404499,-3197555.396844733,-22091.32529277913,-3524797.32759779,-19567327.62435326,-10.734373686350972,-5.308156610404499,-0.02209132529277913,-0.1291915913761899,-0.019179101079054437,-0.17887123829781246,-3.197555396844733,-3.5247973275977897,-19.56732762435326
144,144,-263718.86861525127,-4030940.850652282,-862725.9310840092,-39948.51793234333,-2281414.7470150813,-30395216.09078937,-3360981.833910909,-31561609.408420973,-37873965.00608834,-4.030940850652282,-2.281414747015081,-3.360981833910909,-0.2637188686152513,-0.03994851793234333,-0.8627259310840092,-30.39521609078937,-31.561609408420974,-37.87396500608834
